Date;CSP;Size;Solver;Variable Heuristic;Value Heuristic;Solutions;Duration time;Number of backs;Number of checked values;Time of First solution;Number of backs to first solution;Number of checked values to firs solution
2022-04-09T10:06:21.288912;BinaryCSP;6;BacktrackingSearch;brak;brak;1;10;128;256;10;97;207
2022-04-09T10:06:21.295326;BinaryCSP;6;BacktrackingSearch;MCV STATIC;brak;1;4;179;358;3;127;267
2022-04-09T10:06:21.299910;BinaryCSP;6;BacktrackingSearch;MRV STATIC;brak;1;1;128;256;1;97;207
2022-04-09T10:06:21.303096;BinaryCSP;6;BacktrackingSearch;MRV_MCV STATIC;brak;1;2;179;358;1;127;267
2022-04-09T10:06:21.357714;BinaryCSP;6;BacktrackingSearch;MCV STATIC;LCV DYNAMIC;1;54;179;358;27;58;128
2022-04-09T10:06:21.398072;BinaryCSP;6;BacktrackingSearch;MRV STATIC;LCV DYNAMIC;1;39;128;256;9;26;64
2022-04-09T10:06:21.437539;BinaryCSP;6;BacktrackingSearch;MRV_MCV STATIC;LCV DYNAMIC;1;38;179;358;18;58;128
2022-04-09T10:06:21.441659;BinaryCSP;6;BacktrackingSearch;MCV STATIC;MPV DYNAMIC;1;3;179;358;3;127;267
2022-04-09T10:06:21.443234;BinaryCSP;6;BacktrackingSearch;MRV STATIC;MPV DYNAMIC;1;1;128;256;1;97;207
2022-04-09T10:06:21.445780;BinaryCSP;6;BacktrackingSearch;MRV_MCV STATIC;MPV DYNAMIC;1;2;179;358;1;127;267
2022-04-09T10:06:21.455757;BinaryCSP;8;BacktrackingSearch;brak;brak;1;9;792;1584;2;212;449
2022-04-09T10:06:21.466251;BinaryCSP;8;BacktrackingSearch;MCV STATIC;brak;1;9;716;1432;3;270;565
2022-04-09T10:06:21.477860;BinaryCSP;8;BacktrackingSearch;MRV STATIC;brak;1;9;792;1584;2;212;449
2022-04-09T10:06:21.487398;BinaryCSP;8;BacktrackingSearch;MRV_MCV STATIC;brak;1;9;716;1432;3;270;565
2022-04-09T10:06:21.679957;BinaryCSP;8;BacktrackingSearch;MCV STATIC;LCV DYNAMIC;1;191;716;1432;75;223;461
2022-04-09T10:06:21.979287;BinaryCSP;8;BacktrackingSearch;MRV STATIC;LCV DYNAMIC;1;298;792;1584;100;218;455
2022-04-09T10:06:22.126121;BinaryCSP;8;BacktrackingSearch;MRV_MCV STATIC;LCV DYNAMIC;1;146;716;1432;59;223;461
2022-04-09T10:06:22.136308;BinaryCSP;8;BacktrackingSearch;MCV STATIC;MPV DYNAMIC;1;9;716;1432;3;270;565
2022-04-09T10:06:22.147094;BinaryCSP;8;BacktrackingSearch;MRV STATIC;MPV DYNAMIC;1;10;792;1584;3;212;449
2022-04-09T10:06:22.157428;BinaryCSP;8;BacktrackingSearch;MRV_MCV STATIC;MPV DYNAMIC;1;9;716;1432;3;270;565
2022-04-09T10:06:22.171553;BinaryCSP;10;BacktrackingSearch;brak;brak;1;13;448;896;5;240;516
2022-04-09T10:06:22.179025;BinaryCSP;10;BacktrackingSearch;MCV STATIC;brak;1;7;169;338;5;100;236
